Date,Time,Open,High,Low,Close,Volume,MA_50,MA_200,Volatility,Daily_Return,RSI,Cumulative_Return
2005.10.05,00:00,466.1,466.6,462.8,464.8,987,446.714,432.0965,8.419493358935116,-0.002146844139115478,59.91649269311063,1.210101536058314
2005.10.06,00:00,464.6,473.6,464.1,473.3,1319,447.67799999999994,432.267,8.173118647196757,0.018287435456110224,63.35877862595417,1.2322311897943203
2005.10.07,00:00,473.1,475.6,469.6,474.3,1182,448.61199999999997,432.4295,7.922311929979471,0.0021128248468202937,60.736196319018376,1.2348346784691446
2005.10.10,00:00,473.8,478.3,472.1,475.1,794,449.528,432.586,7.5843051237825865,0.0016866961838499783,61.13360323886637,1.2369174694090042
2005.10.11,00:00,474.8,478.2,474.1,475.3,1286,450.408,432.746,6.502507613472639,0.0004209640075774068,54.3942992874109,1.2374381671439691
2005.10.12,00:00,475.3,480.0,469.7,470.8,1622,451.19199999999995,432.921,5.384734758664221,-0.009467704607616256,56.96517412935326,1.22572246810726
2005.10.13,00:00,471.7,473.8,467.3,471.2,1347,451.892,433.092,4.656774917439616,0.000849617672047609,60.99476439790571,1.2267638635771898
2005.10.14,00:00,471.2,471.6,465.3,469.2,1553,452.536,433.29549999999995,4.183790776708945,-0.004244482173174857,54.200542005420004,1.2215568862275412
2005.10.17,00:00,469.0,475.0,468.8,473.6,1011,453.272,433.5295,4.177004718835102,0.009377664109121886,64.37994722955148,1.233012236396768
2005.10.18,00:00,473.8,474.2,470.3,471.1,957,454.00200000000007,433.75450000000006,4.035695987730252,-0.005278716216216228,53.4883720930233,1.2265035147097072
2005.10.19,00:00,470.8,471.3,461.6,464.0,1427,454.59,433.9705,4.16831406031038,-0.015071110167692692,40.61696658097685,1.208018745118455
2005.10.20,00:00,464.1,464.6,459.5,460.8,1244,455.07,434.1814999999999,4.48206954079682,-0.006896551724137945,39.89898989898991,1.1996875813590173
2005.10.21,00:00,460.8,466.8,460.3,466.3,1021,455.49,434.41650000000004,4.302248494145951,0.01193576388888884,51.20192307692308,1.2140067690705507
2005.10.24,00:00,465.6,468.3,462.8,464.5,937,455.866,434.631,4.371856765616316,-0.003860175852455572,48.48484848484847,1.209320489455867
2005.10.25,00:00,465.2,473.2,464.0,472.1,1105,456.462,434.8625,4.177417358798668,0.016361679224973225,57.37373737373738,1.2291070033845315
2005.10.26,00:00,472.2,474.0,470.1,470.6,1148,456.958,435.09299999999996,4.184293941585921,-0.003177292946409671,46.82352941176473,1.225201770372295
